"","x"
"1","#Trump 

Looking at #USElection2020 results again

#Biden won by 7 milliom votes
He got 51% to Trump's 47%

Even if… https://t.co/SfRZhQDUHe"
"2","Obama's terrorist program Pop up again Support for terrorist militias In Iran, Yemen, Syria Iraq and Lebanon
#Biden… https://t.co/F7r0eeyG9r"
"3","RT @OCOGlobal: China, Climate and Coronavirus are 3 of the key tasks for the Biden Administration. Our Commercial Director @GarethHagan exp…"
"4","A new study from @cardiffuni's @CrimeSecurityCU explores Chinese links to the spread of disinformation during and a… https://t.co/SyJLA0njqw"
"5","RT @bsindia: Under the zero tolerance policy, effective from April 2018 to June 2018, all adults who illegally entered the US, including th…"
"6","Under the zero tolerance policy, effective from April 2018 to June 2018, all adults who illegally entered the US, i… https://t.co/cniuSKicZi"
"7","RT @AishPaliwal: #USElection2020 
Joe Biden races ahead of Donald Trump in Georgia"
"8","RT @BayMads: HISTORY OF US PRESIDENTS:

<U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F474><U+0001F3FC><U+0001F468><U+0001F3FE><U+0001F921><U+0001F474><U+0001F3FC>.
#USEle…"
"9","RT @long_John_: IF @JoeBiden was Zimbabwen <U+0001F923><U+0001F923><U+0001F605><U+0001F605><U+0001F605> #USElection2020 #USPresidentialElections2020 #USElectionResults #CorruptJoeBiden #JoeBiden…"
"10","RT @Coin_Shark: HERE WE GO <U+2192> $600 GIVEAWAY!

3 winners $200 each <U+0001F4B5><U+0001F440>

1) like and RT this tweet <U+2764><U+FE0F><U+0001F501>
2) sign up https://t.co/MalQA8yUW3

Also…"
"11","""This is how we know what love is: Jesus Christ laid down his life for us"" (NIV Bible, 1 John 3:16a).

#uselection… https://t.co/2PD00S19aD"
"12","This is scary stuff! ##twitterbots spreading #fakenews about #USElection2020 https://t.co/yEwSmdkBWK"
"13","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"14","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"15","RT @masroorabbasi3: Heloooo @IvankaTrump 
i have some secret videos of @JoeBiden 
U can DM if u need 
your friend 
Mayam Nawaz 
@NawazShari…"
"16","Heloooo @IvankaTrump 
i have some secret videos of @JoeBiden 
U can DM if u need 
your friend 
Mayam Nawaz… https://t.co/4fgxj7XZ4Y"
"17","RT @WBGSExcellence: The talent of our students shines again. Read this great article from sixth former Nathan about the 2020 Presidential E…"
"18","#USElection2020 #Biden It’s quite sad to watch a superpower Country becoming something out of the Jerry Springer show..."
"19","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"20","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"21","RT @NeelumNawab: Maine’s Susan Collins has been Reelected making it almost impossible for Democrats to win the Senate  #Democrats #USElecti…"
"22","RT @NeelumNawab: President Trump’s lead in Pennsylvania has become shaky from more than 10% points to less than 2 points.If Biden wins Penn…"
"23",".@Facebook to let researchers access #election ad #data.

#advertising #USElection2020 

https://t.co/VPYcp2XnIe"
"24","#TrumpAdministration 

Former secretary of state #MikePompeo joins #Conservative  #HudsonInstitute in #DC 
#pakustv… https://t.co/iio4jFwmsH"
"25","RT @ThaGuru_: Still the greatest proposal video I've ever watched on the internet.

#Icon #VALRMA Fajr #Borat #USElection2020
https://t.co/…"
"26","China, Climate and Coronavirus are 3 of the key tasks for the Biden Administration. Our Commercial Director… https://t.co/Qa9IQ2VE6R"
"27","RT @twistbyformatio: The King's Collections (White Howlite spun Gold )
.
Price: #3000 .

#SendADM today or chat / call via whatsapp@ 070686…"
"28","Dear @twittersupport please look into this tweet (and responses) as they are promoting false information about… https://t.co/wUito8xruL"
"29","RT @WIONews: On #Gravitas, watch former White House stenographer, Mike McCormick, speak to WION's @palkisu on #USElection2020 

Tonight | 9…"
"30","The @JusticeOIG has announced an investigation into whether prior members of the #DOJ attempted to alter the result… https://t.co/LZp35fytpD"
"31","@nytimes Someone put me right here, how can Trump be impeached when he is no longer president? #TrumpsLastDay #Trump #USElection2020"
"32","https://t.co/IYDy9jglEP

Nice 'cover' by #CapitolHill #PoliceChief 2a gr8 trap set 4 proTrumpers, who fell ri8 in2… https://t.co/UZYcjhVnNt"
"33","RT @chrisburke: ""You cannot go to a 7-Eleven or a Dunkin' Donuts unless you have a slight Indian accent. I'm not joking"" - Joe Biden

#USEl…"
"34","So The nuclear football is more important then Twitter handle <U+0001F926> #POTUS #USElection2020"
"35","RT @ixi0310: It was/is always about the #USElection2020 #trump and #climate #ClimateCrisis #ClimateEmergency (latter 3 still trending as us…"
"36","It was/is always about the #USElection2020 #trump and #climate #ClimateCrisis #ClimateEmergency (latter 3 still tre… https://t.co/OxVy4uvx4v"
"37","Comment of year <U+0001F923><U+0001F923><U+0001F923><U+0001F923>
#BidenHarris #Trump #USElection2020 https://t.co/A7OetrZQtX"
"38","Anyone who can't figure out what the connection is between ""My Pillow"" and #USPresidency hasn't been following the… https://t.co/CRv2lMd6m0"
"39","The talent of our students shines again. Read this great article from sixth former Nathan about the 2020 Presidenti… https://t.co/UGgpecg9zv"
"40","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"41","RT @Yohanrealdeal: Sen. Bernie Sander's prediction need to be studied in any betting company. What a prediction <U+0001F632><U+0001F632><U+0001F632><U+0001F631><U+0001F631><U+0001F631><U+0001F631><U+0001F631><U+0001F631> exactly what's ha…"
"42","Now that Mr T is gone I thought I'd share again the article I wrote about my pupil's views after the… https://t.co/Jxu1lwWFkc"
"43","RT @kierans777: Putting Janet Yellen in as Secretary of Treasury means the Dems have learnt nothing from the GFC and Trump winning in 2016.…"
"44","RT @OzzyManReviews: This staircase is like a US election battleground state ay! <U+0001F399> crank ya sound. #ozzyman #ozzymanreviews #parentsvsstairs…"
"45","RT @bsindia: ""The Office of the Former President"" will manage Trump's correspondence, public statements, appearance and official activities…"
"46","""The Office of the Former President"" will manage Trump's correspondence, public statements, appearance and official… https://t.co/yhE1sZa8mh"
"47","RT @bsindia: ""The Office of the Former President"" will manage Trump's correspondence, public statements, appearance and official activities…"
"48","RT @bsindia: ""The Office of the Former President"" will manage Trump's correspondence, public statements, appearance and official activities…"
"49","""The Office of the Former President"" will manage Trump's correspondence, public statements, appearance and official… https://t.co/HhlzDd9VWb"
"50","What is the 25th Amendment? How can it be used to remove Trump? Check this out in this interesting blog.… https://t.co/M6epsvC40a"
"51","RT @davemacladd: the main takeaway from #USElection2020 which will embolden the Tories is that there is still a big, big market for absolut…"
"52","U.S. watchdog probing whether Justice Department officials tried to overturn election | CBC News… https://t.co/X08wW8m0Gm"
"53","RT @natashaboddy: Nearly 3 in 4 @FinancialReview readers say #Trump shouldn't be allowed to run for US President again. #politics #USElecti…"
"54","Nearly 3 in 4 @FinancialReview readers say #Trump shouldn't be allowed to run for US President again. #politics… https://t.co/MCr5c7souj"
"55","this was the greatest thing i seen from the #USelection2020 no question, filled up a place in my heart i needed to… https://t.co/WAIhjhQFD4"
"56","This is the World we live in now. Seriously, we really need to be careful of many so called men of God <U+2639><U+FE0F><U+2639><U+FE0F>… https://t.co/ETuKP4kV4y"
"57","In a comprehensive analysis of #DonaldTrump's defeat in #USElection2020,
Defence Analyst @GenAmjadShuaib belives th… https://t.co/DB4FvDrDEl"
"58","Another day, another stab at working out how on earth the value of a defamation lawsuit is calculated.

We asked ou… https://t.co/lsGcB0AcWw"
"59","It's getting serious #USElection2020
https://t.co/AP5DXrZlM0"
"60","@BorisJohnson and 45 president of #USA , @POTUS45 are in a #cafe after #USElection2020 for programming the future o… https://t.co/HgGsHYikkC"
"61","RT @ProfGuidoKuehn: Whoever wins #USElection2020 - it will certainly take more than one presidency to heal this deeply divided and frighten…"
"62","When will #Trump's followers accept the truth? @JoeBiden and @KamalaHarris won in a fair #USElection2020. https://t.co/ZmuTR5YlqT"
"63","RT @ShahlaaTahira: Back with my first live show of 2021 <U+0001F4FB> @RichieBrave &amp; myself discuss #uselection2020 #inauguration2021 &amp; what it all mea…"
"64","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"65","RT @ShahlaaTahira: Back with my first live show of 2021 <U+0001F4FB> @RichieBrave &amp; myself discuss #uselection2020 #inauguration2021 &amp; what it all mea…"
"66","RT @ShahlaaTahira: Back with my first live show of 2021 <U+0001F4FB> @RichieBrave &amp; myself discuss #uselection2020 #inauguration2021 &amp; what it all mea…"
"67","Back with my first live show of 2021 <U+0001F4FB> @RichieBrave &amp; myself discuss #uselection2020 #inauguration2021 &amp; what it al… https://t.co/2RwihYo2YK"
"68","RT @OzzyManReviews: This staircase is like a US election battleground state ay! <U+0001F399> crank ya sound. #ozzyman #ozzymanreviews #parentsvsstairs…"
"69","RT @GlennBBC: “Accept the inevitable”

Scotland’s first minister <U+2066>@NicolaSturgeon<U+2069> thinks it’s time <U+2066>@realDonaldTrump<U+2069> puts ‘country before…"
"70","RT @NotRepulsion: Reasons why i love twitter - (""peacefully"")
#TrumpvsBiden #USElection2020 #Biden2020 https://t.co/8wWIh2E8Fi"
"71","RT @GlennBBC: “Accept the inevitable”

Scotland’s first minister <U+2066>@NicolaSturgeon<U+2069> thinks it’s time <U+2066>@realDonaldTrump<U+2069> puts ‘country before…"
"72","These ppl have lost their minds #USElection2020 #trumpers #MAGA #TreasonousTrump #CountryOverParty https://t.co/2XZLzSW2i3"
"73","Thank you Mr #Biden
#TrumpConceded
#JoeBiden
#USElection2020 https://t.co/FbG3IUZiPy"
"74","RT @OzzyManReviews: This staircase is like a US election battleground state ay! <U+0001F399> crank ya sound. #ozzyman #ozzymanreviews #parentsvsstairs…"
"75","#RachelLevine, assistant Heath Secretary, gets it. #USElection2020 #JoeBiden #Covid_19 #COVIDSecondWave… https://t.co/qHk4gZq1tH"
"76","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"77","#USElection2020 Trump attempted coup In the month leading up to the Capitol Riot. NY Times <U+0001F92E><U+0001F92E><U+0001F92E>… https://t.co/wrfZcRtYou"
"78","1) During the #USElection2020 some of our media pundits were talking about the political polarization in the US (Re… https://t.co/nrznyeJaLK"
"79","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"80","About to go live with the bro @RichieBrave on @1Xtra join the discussion we’re talking all things #USElection2020 a… https://t.co/L7pY72vXSW"
"81","They made a story about people and situations like this, it’s called ‘the emperor’s clothes’ #PoliticsLive… https://t.co/X36V0Td79M"
"82","RT @aseemarora08: All eyes on Michigan now! <U+0001F440>
#USElection2020"
"83","Excited to share the latest addition to my #etsy shop: Men's Cultivator Zip Hoodie 

https://t.co/WwOdXOOK1o… https://t.co/MInM7QlXYj"
"84","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"85","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"86","RT @BettinaForget: Data visualization insights:
Land doesn't vote. People do.
#USElection2020 https://t.co/MJWKPftOsx"
"87","RT @orphansliberty: Orphans of Liberty: At this newsless time, let’s look at the National ... #USElection2020 https://t.co/s0nt8FHSvV"
"88","Orphans of Liberty: At this newsless time, let’s look at the National ... #USElection2020 https://t.co/s0nt8FHSvV"
"89","Someone said they feel like we’ve all just been released from a hostage situation, but to me it’s more like the hos… https://t.co/QMNzsP3w3G"
"90","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"91","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"92","Controversy in #SLvsENG - even the local wildlife have been belated affected by the #USElection2020 !! 
<U+0001F633>
Very litt… https://t.co/dsqSNwbtoR"
"93","RT @hjaltshul: Why did @theJeremyVine decide to give a platform to Nigel Farage today on @BBCRadio2 to talk about the #USElection2020 when…"
"94","RT @MillenniumTV: We are only half way through January and it already feels like it’s time for a reset! #Election2020 #USElection2020 #Bide…"
"95","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"96","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"97","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"98","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"99","RT @KathyConWom: ' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at the fraud…"
"100","' . the various institutions (the media, the judiciary, the legislature, the states) which should have looked at th… https://t.co/KqPpPRGeLI"
"101","Pluto returns to the same position in USA's birth chart after 246 years. What does it signify and mean for the coun… https://t.co/XN8SvQGpwV"
"102","#Biden He became president for $ 145 million. 145 million dollars were distributed by anonymous people to the suppo… https://t.co/xwV91f4E8M"
"103","@ChuckGrassley No one is stopping u or ur Trumpie from preaching ur crap ideology on any streetcorner u desire, ole… https://t.co/b1NbtVxqBk"
"104","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"105","[<U+0001F9F5>2/3] 
Prior to #uselection2020 and the #Inauguration2021 Biden was perceived as ""too soft on China.""
The latest s… https://t.co/KbphVX3D5R"
"106","The majority are not necessarily always right, but in this case, even if we’re not the majority, it can’t be denied… https://t.co/6t9HC8gHhc"
"107","@RitaPanahi America has everything it deserves. Vote for stupid choices, get stupid prizes. #USElection2020"
"108","RT @Jonathan_1867: 65000 troops in DC aren't just there for a virtual inauguration are they? Is something else planned? #Trump #USElection2…"
"109","RT @ronbousso1: I found myself thinking about this book a lot in recent weeks. Sinclair Lewis thought it could happen in the US in the 1930…"
"110","I found myself thinking about this book a lot in recent weeks. Sinclair Lewis thought it could happen in the US in… https://t.co/Xkbktkwxgc"
"111","""... To all who received him [Jesus Christ], to those who believed in his name, he gave the right to become childre… https://t.co/q39PI452KY"
"112","RT @THEADVISORY3: This was how true love used to be until yahoo boys showed up...<U+0001F926><U+0001F61E>

#ManUnited | poch | Gowon | #USElection2020 https://t.…"
"113","RT @ixi0310: I fully believe #COVID19 , #china and the #USElection2020 are all parts of the same bird. I think once the latter is finally d…"
"114","#uselectionresults2020 #USElection2020 I am really interested to see a documentary that objectively examines the cl… https://t.co/jUBXK9PjBg"
"115","RT @Gtexthomes: Congratulations the 46th President of United States of America — Joe Biden
.
.
.
.
.
.
.
.
.
.
#gtexthomes #inaguration2021…"
"116","@Telegraph What is the 25th Amendment? How can it be used to remove Trump? Check this out in this interesting blog.… https://t.co/bTQDbCkXe9"
"117","RT @alessiorastani: The US Election, What will Happen and What I Got WRONG (and right) https://t.co/aHf5r6JSHZ [VIDEO] #USElection2020"
"118","RT @alessiorastani: You might NOT like this, but I am now hearing that once ALL the remaining votes are counted, Biden will likely squeeze…"
"119","RT @alessiorastani: Could This Shock Election Event SINK the Markets? https://t.co/ErIDrbBOGd [VIDEO] #USElection2020 #USElection"
"120","RT @alessiorastani: Can the Markets PREDICT who will the US Elections this year? Let's find out: https://t.co/GSLjhMVCoO [VIDEO].... #USEle…"
"121","After 4 years of #Trump, storming the #CapitolHill and now being detained at the federal facility, our dear… https://t.co/6A74UitHsZ"
"122","I couldn’t resist

#berniesmittens #BernieSanders #Berniememes #USElection2020 https://t.co/miVOwvVAKa"
"123","RT @Coin_Shark: HERE WE GO <U+2192> $600 GIVEAWAY!

3 winners $200 each <U+0001F4B5><U+0001F440>

1) like and RT this tweet <U+2764><U+FE0F><U+0001F501>
2) sign up https://t.co/MalQA8yUW3

Also…"
"124","2020 videogame!

#USElection2020 #COVID19 #Quarantine

https://t.co/roGDjh8OrE"
"125","#EXCLUSIVE 

#Trump says 'we'll do something' but 'not just yet' in first post-presidential remark 
#pakustv #NYC… https://t.co/yC1tDf5oP7"
"126","Representation matters #dkpol #usa #USElection2020 #us https://t.co/95b7AKuZMt"
"127","Unpopular fact. But #Kamala wasn’t voted to power by the people or even her party. It was given to her by an old white man. #USElection2020"
"128","Don't know whether I should laugh or cry <U+0001F926><U+200D><U+2640><U+FE0F><U+0001F92A>
#trumpistan #trumpidiots #USElection2020 https://t.co/i1R1Ryc7UT"
"129","How #Simpsons predictions are soo accurate <U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F> do the makers of this show have a time machine ? <U+0001F633><U+0001F633>… https://t.co/ocUsm90MhZ"
"130","""'... What must I do to be saved?' They replied, 'Believe in the Lord Jesus [Christ], and you will be saved - you a… https://t.co/dgHAiwvFsh"
"131","After #USElection2020, new President @JoeBiden's  u-turn on things which he &amp; his party have chosen earlier but now… https://t.co/fINJhorOZ2"
"132","@sanjazakovska A different analogy...<U+0001F601>

#USElection2020 expectations vs #USElection2020 reality"
"133","@sanjazakovska A different analogy...<U+0001F601>

#USElection2020 expectations vs #USElection2020 reality"
"134","RT @PrBlueberry: It is really important to spell check. Today is a great example. Have you noticed increasing errors in media articles?

@N…"
"135","‘Joe Biden is not my President’ trends in India after this tweet – how it all started.
#JoeBidenIsNotMyPresident… https://t.co/DU5camDvBJ"
"136","First 100 Days: U.S.-Gulf Relations https://t.co/VIfDlsT2ts #USElection2020"
"137","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"138","Modi govt must learn to use power or 2024 might be next #USElection2020."
"139","RT @HiddenTruth42: Trump won. I don't care what lies you've been told. Wake up, and look around you: this is still Trump Country. #USA #Tru…"
"140","It is really important to spell check. Today is a great example. Have you noticed increasing errors in media articl… https://t.co/HqeinxTx28"
"141","This is hilarious, tell me how this guy got the most votes ever and 80 million+. What a joke <U+0001F60F> #USElection2020… https://t.co/qf7UAc3YMc"
"142","RT @saul_osantana: my latest work: design the Oval Office.
#setdesign #broadcasting #tv #onair #design #newsdesign #USElection2020 @BILD @a…"
"143","RT @jurisdictio84: 1/ Joe #Biden greatest Presidential Speech! #USElection2020 https://t.co/kG6HF6L4ru"
"144","Yeah wasn’t it great to see this footage during the #USElection2020 campaign.., oh wait <U+0001F914> https://t.co/NsN6AFZpjv"
"145","Elizabeth Richter named interim head of CMS as Biden transitions to new era. #uselection2020 #kamalaharris… https://t.co/pTGxmux4ia"
"146","Micky Tripathi named by Biden administration to lead ONC #uselection2020 #kamalaharris #JoeBiden #USPresident… https://t.co/zsJzRyjVyZ"
"147","With #USElection2020 dust settled, I think it’s worth pointing out that #trump didn’t once question @JoeBiden, who… https://t.co/qywoIS5tFK"
"148","RT @rorybremner: Trump latest. That rant in full. #USAElections2020 #USElection2020 https://t.co/WiFJwJcuLh"
"149","RT @PeterWMurphy1: Q: How did Joe Biden steal the election?

A: He convinced 81 million Americans to vote for him!

#USElection2020 #USPoli…"
"150","RT @RichardCalderV: After the #USElection2020, We can see the observable truth of politics today

Trump lost like @jeremycorbyn lost the UK…"
"151","Q: How did Joe Biden steal the election?

A: He convinced 81 million Americans to vote for him!

#USElection2020 #USPolitics"
"152","@Telegraph @TheChrisPrice What is the 25th Amendment? How can it be used to remove Trump? Check this out in this in… https://t.co/AG3WN2Utks"
"153","RT @TheresaAFallon: German Der Spiegel’s take on outcome of #USElection2020 on right below.
Trump cover from 2017. https://t.co/qTkCXVx7CK"
"154","The lovely @CWBookshop will be co-hosting a livestream event with #JonSopel 7.30pm Thursday 28th Jan. Tickets from… https://t.co/vEU5KmIE12"
"155","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"156","We hire seniors! <U+0001F496>

@BernieSanders @SenSanders
#BernieSanders #BernieSandersMittens #USElection2020
#usa https://t.co/q0nU0pEMtx"
"157","We hire seniors! <U+0001F496>

@BernieSanders @SenSanders
#BernieSanders #BernieSandersMittens #USElection2020 https://t.co/5cyI6Ceh0k"
"158","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"159","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"160","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"161","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"162","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"163","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"164","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"165","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"166","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"167","RT @PresidentLebon: @realObonjo @Prof_Malhotra @JoeBiden I am French, Mr. President!
The #POTUS being the #LeaderOfTheFreeWorld we do care…"
"168","RT @RichardCalderV: After the #USElection2020, We can see the observable truth of politics today

Trump lost like @jeremycorbyn lost the UK…"
"169","After the #USElection2020, We can see the observable truth of politics today

Trump lost like @jeremycorbyn lost th… https://t.co/LHIiZkUY0g"
"170","""While I may be the first woman in this office, I won’t be the last""
- Kamala Harris

History is being made today t… https://t.co/PUEkQXKDpm"
"171","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"172","Hey @Nigel_Farage how’s your old mate Don? Not heard from him for a few days. Worried he’s not okay. #DonaldTrump #USElection2020"
"173","The 2020 excellent performance of our 5 Trend &amp; Event Driven Selections (#GreenNewDeal, #medtech, #5g, #Covid,… https://t.co/QHTGNoWte9"
"174","RT @NeuroticSlacker: Bro wth our leader isn’t having it #Elections2020  #ElectionDay  #USElection #USElection2020  #electionmemes https://t…"
"175","RT @2000gsgaurav: The Joy of US media over Biden's victory in US elections resembles the same here in INDIA in 2014 for modi and we all kno…"
"176","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 2/2

#USElection2020 
@dancohen3000 https://t.co/sLD03oa3Jy"
"177","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"178","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 2/2

#USElection2020 
@dancohen3000 https://t.co/sLD03oa3Jy"
"179","During the past four yrs, arrays of unexpected decisions made states to tackle with various storms! Indeed, #Biden… https://t.co/GW6h4FmmvQ"
"180","@paulmasonnews pirouetting in spectacular fashion! Tantalisingly close accepting the class dynamic in @LordAshcroft… https://t.co/ThOPnHsetm"
"181","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"182","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"183","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 2/2

#USElection2020 
@dancohen3000 https://t.co/sLD03oa3Jy"
"184","@HookeyGolfer @Twitter Also adds #LIKES to pedo @JoeBiden posts, 
Some go from zero likes to 800,000 in secs!
Just… https://t.co/1K7ZcY8m7H"
"185","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 2/2

#USElection2020 
@dancohen3000 https://t.co/sLD03oa3Jy"
"186","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"187","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 2/2

#USElection2020 
@dancohen3000 https://t.co/sLD03oa3Jy"
"188","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
"189","RT @PressTV: ""US is in deep crisis!"": #DanCohen

Part: 1/2

#USElection2020 
@dancohen3000 https://t.co/BK5pe4LkoS"
